  2.5745  3.0191  3.5983  4.3057  5.1257  5.5060  6.0998  6.5872  7.5000
  9.8253 14.1527 27.3780 32.4586 36.9598 37.0471 35.3041 33.5989 31.0125
  3.7309  4.3519  5.1381  6.0595  7.0802  7.5410  8.2531  8.8398 10.0000
 13.2325 19.3497 32.5374 37.8812 43.8711 45.7201 45.6004 44.6743 42.2457
  5.1568  5.9570  6.9294  8.0176  9.1767  9.6906 10.4816 11.1374 12.5000
 16.5983 24.3212 36.6732 41.9995 48.5354 51.2707 52.1928 52.1922 51.2884
  6.8637  7.8153  8.9246 10.1216 11.3672 11.9153 12.7596 13.4658 15.0000
 19.9384 28.8918 40.3255 45.5198 52.1303 55.1752 56.5433 56.9932 56.9487
  8.8081  9.8621 11.0550 12.3164 13.6160 14.1873 15.0701 15.8151 17.5000
 23.2638 32.9446 43.7321 48.7646 55.2641 58.3570 59.8631 60.4794 60.7915
 13.1106 14.2549 15.5226 16.8484 18.2123 18.8143 19.7520 20.5557 22.5000
 29.8902 40.2728 50.1720 54.8977 61.0420 63.9933 65.4705 66.1191 66.5662
 31.6297 32.8561 34.2161 35.6470 37.1378 37.8068 38.8690 39.8100 42.5000
 56.0756 65.7429 73.9294 77.8518 82.8322 85.1030 86.1589 86.5728 86.7745
  0.9307  1.2775  1.8077  2.5704  3.6037  4.1346  5.0287  5.8251  7.5000
  9.8253 14.1527 27.3780 32.4586 36.9598 37.0471 35.3041 33.5989 31.0125
  1.5189  2.0567  2.8421  3.8992  5.2263  5.8768  6.9466  7.8934 10.0000
 13.2325 19.3497 32.5374 37.8812 43.8711 45.7201 45.6004 44.6743 42.2457
  2.4114  3.1850  4.2408  5.5546  7.0936  7.8221  9.0039 10.0494 12.5000
 16.5983 24.3212 36.6732 41.9995 48.5354 51.2707 52.1928 52.1922 51.2884
  3.6831  4.6907  5.9690  7.4588  9.1264  9.9013 11.1525 12.2644 15.0000
 19.9384 28.8918 40.3255 45.5198 52.1303 55.1752 56.5433 56.9932 56.9487
  5.3271  6.5105  7.9311  9.5213 11.2610 12.0636 13.3596 14.5191 17.5000
 23.2638 32.9446 43.7321 48.7646 55.2641 58.3570 59.8631 60.4794 60.7915
  9.3408 10.6803 12.2160 13.8882 15.6955 16.5284 17.8804 19.1060 22.5000
 29.8902 40.2728 50.1720 54.8977 61.0420 63.9933 65.4705 66.1191 66.5662
 27.5863 29.0020 30.6109 32.3593 34.2593 35.1446 36.6033 37.9649 42.5000
 56.0756 65.7429 73.9294 77.8518 82.8322 85.1030 86.1589 86.5728 86.7745
 -5.5 -3.0 -1.5 -0.7 -0.3 -0.2 -0.1-0.05  0.0
 0.05  0.1  0.2  0.3  0.6  1.0  1.5  2.0  3.0
   3.   4.   5.   6.   7.   9.  17.

